Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
Vulpes macrotis mutica,San Joaquin kit fox,wherever found,8,Endangered,Mammals
Dipodomys heermanni morroensis,Morro Bay kangaroo rat,Wherever found,8,Endangered,Mammals
Reithrodontomys raviventris,Salt marsh harvest mouse,wherever found,8,Endangered,Mammals
Microtus californicus scirpensis,Amargosa vole,Wherever found,8,Endangered,Mammals
Dipodomys nitratoides exilis,Fresno kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys ingens,Giant kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Wherever found,8,Endangered,Mammals
Enhydra lutris nereis,Southern sea otter,Wherever found,8,Threatened,Mammals
Aplodontia rufa nigra,Point Arena mountain beaver,Wherever found,8,Endangered,Mammals
Perognathus longimembris pacificus,Pacific pocket mouse,Wherever found,8,Endangered,Mammals
Sylvilagus bachmani riparius,Riparian brush rabbit,Wherever found,8,Endangered,Mammals
Ovis canadensis nelsoni,Peninsular bighorn sheep,Peninsular CA pop.,8,Endangered,Mammals
Ovis canadensis sierrae,Sierra Nevada bighorn sheep,Sierra Nevada,8,Endangered,Mammals
Sorex ornatus relictus,Buena Vista Lake ornate Shrew,Wherever found,8,Endangered,Mammals
Neotoma fuscipes riparia,Riparian woodrat (=San Joaquin Valley),Wherever found,8,Endangered,Mammals
Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,Wherever found,8,Endangered,Mammals
Gymnogyps californianus,California condor,"U.S.A. only, except where listed as an experimental population",8,Endangered,Birds
Rallus obsoletus [=longirostris] yumanensis,Yuma Ridgways (clapper) rail,Wherever found,2,Endangered,Birds
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds
Sterna antillarum browni,California least tern,Wherever found,8,Endangered,Birds
Rallus longirostris obsoletus,California clapper rail,Wherever found,8,Endangered,Birds
Rallus longirostris levipes,Light-footed clapper rail,Wherever found,8,Endangered,Birds
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Wherever found,8,Endangered,Birds
Amphispiza belli clementeae,San Clemente sage sparrow,Wherever found,8,Threatened,Birds
Vireo bellii pusillus,Least Bell's vireo,Wherever found,8,Endangered,Birds
Charadrius nivosus nivosus,Western snowy plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds
Pipilo crissalis eremophilus,Inyo California towhee,Wherever found,8,Threatened,Birds
Strix occidentalis caurina,Northern spotted owl,Wherever found,1,Threatened,Birds
Brachyramphus marmoratus,Marbled murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds
Polioptila californica californica,Coastal California gnatcatcher,Wherever found,8,Threatened,Birds
Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,2,Endangered,Birds
Gambelia silus,Blunt-nosed leopard lizard,Wherever found,8,Endangered,Reptiles
Thamnophis sirtalis tetrataenia,San Francisco garter snake,Wherever found,8,Endangered,Reptiles
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles
Lepidochelys olivacea,Olive ridley sea turtle,"Wherever found, except when listed as endangered under 50 CFR 224.101",4,Threatened,Reptiles
Uma inornata,Coachella Valley fringe-toed lizard,Wherever found,8,Threatened,Reptiles
Masticophis lateralis euryxanthus,Alameda whipsnake (=striped racer),Wherever found,8,Threatened,Reptiles
Gopherus agassizii,Desert tortoise,"Wherever found, except AZ south and east of Colorado R., and Mexico",8,Threatened,Reptiles
Thamnophis gigas,Giant garter snake,Wherever found,8,Threatened,Reptiles
Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,Wherever found,8,Endangered,Amphibians
Batrachoseps aridus,Desert slender salamander,Wherever found,8,Endangered,Amphibians
Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Sonoma County),8,Endangered,Amphibians
Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,Wherever found,8,Endangered,Amphibians
Rana draytonii,California red-legged frog,Wherever found,8,Threatened,Amphibians
Rana muscosa,Mountain yellow-legged frog,Southern California DPS,8,Endangered,Amphibians
Chasmistes cujus,Cui-ui,Wherever found,8,Endangered,Fishes
Ptychocheilus lucius,Colorado pikeminnow (=squawfish),"Wherever found, except where listed as an experimental population",6,Endangered,Fishes
Cyprinodon radiosus,Owens pupfish,Wherever found,8,Endangered,Fishes
Oncorhynchus clarkii seleniris,Paiute cutthroat trout,Wherever found,8,Threatened,Fishes
Gila bicolor ssp. mohavensis,Mohave tui chub,Wherever found,8,Endangered,Fishes
Gasterosteus aculeatus williamsoni,Unarmored threespine stickleback,Wherever found,8,Endangered,Fishes
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes
Oncorhynchus aguabonita whitei,Little Kern golden trout,Wherever found,8,Threatened,Fishes
Gila elegans,Bonytail,Wherever found,6,Endangered,Fishes
